date,prcp,RH,tmax,tmin,vp,discharge
2001/7/18,0,52,360,210,9727,426
2001/7/19,0,56,374,222,9730,288
2001/7/20,0,60,379,239,9720,325
2001/7/21,247,79,350,217,9729,242
2001/7/22,32700,76,326,247,9750,170
2001/7/23,32700,78,327,249,9751,131
2001/7/24,32700,74,349,242,9741,123
2001/7/25,63,74,353,238,9756,161
2001/7/26,15,78,339,262,9763,148
2001/7/27,10,79,340,266,9732,261
2001/7/28,271,87,308,226,9752,154
2001/7/29,183,92,270,224,9754,214
2001/7/30,355,81,308,210,9759,1450
2001/7/31,0,74,338,214,9769,1400
2001/8/1,32700,76,340,220,9772,933
2001/8/2,0,76,324,224,9794,1000
2001/8/3,0,75,323,244,9836,974
2001/8/4,0,75,337,245,9844,933
2001/8/5,0,75,353,245,9800,831
2001/8/6,0,73,375,242,9747,771
2001/8/7,9,82,356,250,9744,677
2001/8/8,32700,85,292,251,9802,366
2001/8/9,133,93,263,234,9841,478
2001/8/10,0,76,292,193,9861,506
2001/8/11,0,78,306,178,9859,298
2001/8/12,0,73,310,182,9844,252
2001/8/13,0,76,315,181,9828,236
2001/8/14,32700,72,334,198,9800,347
2001/8/15,69,79,311,210,9788,445
2001/8/16,0,79,306,226,9789,508
2001/8/17,5,79,326,239,9792,572
2001/8/18,0,72,330,237,9786,714
2001/8/19,0,67,306,249,9801,466
2001/8/20,43,87,262,214,9829,190
2001/8/21,20,79,323,208,9786,99.9
2001/8/22,0,83,306,198,9761,184
2001/8/23,0,72,357,194,9740,319
2001/8/24,0,68,371,195,9752,328
2001/8/25,0,69,350,195,9794,389
2001/8/26,0,71,312,228,9828,330
2001/8/27,32700,71,307,222,9830,198
2001/8/28,2,75,268,209,9826,255
2001/8/29,3,78,237,192,9830,179
2001/8/30,12,89,237,200,9838,178
2001/8/31,64,93,221,191,9841,272
2001/9/1,0,78,292,193,9832,378
2001/9/2,0,76,297,182,9844,672
2001/9/3,9,85,253,202,9866,492
2001/9/4,0,77,305,154,9833,468
2001/9/5,0,73,347,171,9805,480
2001/9/6,0,70,323,192,9816,469
2001/9/7,3,79,286,205,9834,557
2001/9/8,0,65,332,169,9840,528
2001/9/9,0,70,292,164,9863,432
2001/9/10,30,82,251,201,9874,538
2001/9/11,32700,68,301,180,9857,613
2001/9/12,32700,69,268,184,9857,688
2001/9/13,15,80,269,186,9835,701
2001/9/14,32700,76,280,202,9837,699
2001/9/15,0,67,321,208,9836,409
2001/9/16,0,62,333,208,9827,288
2001/9/17,0,63,318,213,9824,330
2001/9/18,32700,72,269,214,9849,471
2001/9/19,0,59,236,205,9869,678
2001/9/20,24,92,210,152,9920,694
2001/9/21,45,96,179,161,9943,959
2001/9/22,10,95,182,162,9929,981
2001/9/23,0,82,248,169,9886,768
2001/9/24,12,88,230,186,9895,739
2001/9/25,32700,79,249,180,9901,775
2001/9/26,1,73,250,168,9874,883
2001/9/27,0,78,247,174,9888,933
2001/9/28,0,75,264,130,9904,952
2001/9/29,19,91,212,165,9902,989
2001/9/30,0,73,287,145,9893,1030
2001/10/1,32700,72,268,115,9885,1090
2001/10/2,103,94,211,161,9889,982
2001/10/3,0,72,266,134,9906,1040
2001/10/4,0,72,250,90,9908,1140
2001/10/5,0,81,201,126,9878,1140
2001/10/6,68,91,176,141,9876,1130
2001/10/7,1,89,186,136,9897,1230
2001/10/8,0,83,249,148,9901,1000
2001/10/9,0,74,277,81,9883,883
2001/10/10,0,71,266,110,9880,811
2001/10/11,0,67,245,167,9887,713
2001/10/12,47,88,208,148,9898,610
2001/10/13,10,94,168,152,9895,577
2001/10/14,93,94,156,137,9899,571
2001/10/15,0,90,204,130,9923,622
2001/10/16,3,90,203,149,9931,596
2001/10/17,0,84,222,142,9928,461
2001/10/18,0,86,196,104,9918,376
2001/10/19,11,92,172,145,9924,306
2001/10/20,26,93,154,135,9938,294
2001/10/21,0,87,221,129,9920,185
2001/10/22,32700,87,243,123,9921,155
2001/10/23,0,80,260,132,9910,148
2001/10/24,16,84,247,145,9886,151
2001/10/25,57,95,193,174,9872,164
2001/10/26,92,91,177,139,9924,620
2001/10/27,12,83,247,138,9927,662
2001/10/28,0,71,256,89,9937,638
2001/10/29,0,77,189,107,9945,608
2001/10/30,0,77,202,89,9898,550
2001/10/31,0,75,237,116,9905,554
2001/11/1,2,84,157,85,9951,465
2001/11/2,87,91,121,86,9920,467
2001/11/3,2,90,132,110,9931,308
2001/11/4,23,90,152,109,9944,288
2001/11/5,0,72,213,95,9994,244
2001/11/6,0,85,126,31,10006,231
2001/11/7,0,81,172,48,9953,291
2001/11/8,0,77,221,47,9952,256
2001/11/9,0,78,159,47,10001,273
